Year,Team,firstpoints,secondpoints,full season,firstrank,seasonrank,amountspent,transfersin_winter,transfersout_winter,onloan,topclassin,topclassout,ineuropefall,ineuropespring
2017,Bournemouth,16,28,44,18,10,0,0,3,-3,,,0,0
2017,Arsenal,34,29,63,5,6,-6.4,3,10,-4,,,1,1
2017,BrightonAlbion,21,19,40,12,15,14,3,4,-2,,,0,0
2017,Burnley,32,22,54,7,7,0,2,1,1,,,0,0
2017,Chelsea,39,31,70,3,5,-14.5,3,8,-7,,,1,1
2017,CrystalPalace,18,26,44,15,10,9,3,1,0,,,0,0
2017,Everton,26,23,49,9,8,27.5,3,6,-3,,,1,0
2017,Huddersfield,22,15,37,10,16,11,2,1,1,,,0,0
2017,Leicester,27,20,47,8,9,4.4,1,5,-5,,,0,0
2017,Liverpool,35,40,75,4,4,-67,1,6,-5,,,1,1
2017,ManCity,55,45,100,1,1,57,1,6,6,,,1,1
2017,ManUnited,42,39,81,2,2,0,1,5,-3,,,1,1
2017,Newcastle,18,26,44,15,10,0,3,6,-3,,,0,0
2017,Southampton,19,17,36,13,17,-56,1,2,-1,,,0,0
2017,Stoke,19,14,33,13,18,19.5,3,1,0,,,0,0
2017,Swansea,13,20,33,20,18,0,2,5,-4,,,0,0
2017,Tottenham,34,43,77,5,3,25,1,7,-7,,,1,1
2017,Watford,22,19,41,10,14,0,3,6,-4,,,0,0
2017,Westham,17,25,42,17,13,-10,3,5,-2,,,0,0
2017,Westbrom,14,17,31,19,20,0,2,1,2,,,0,0
2016,Bournemouth,24,22,46,9,8,-3,0,3,-2,,,0,0
2016,Arsenal,40,35,75,3,5,0.04,1,1,-1,,,1,1
2016,Burnley,23,17,40,11,16,17,3,3,0,,,0,0
2016,Chelsea,49,44,93,1,1,0,0,4,-52,,,0,0
2016,CrystalPalace,16,25,41,17,14,26.5,4,2,0,,,0,0
2016,Everton,27,34,61,7,7,26.5,2,5,-3,,,0,0
2016,Hullcity,13,21,34,19,18,-20.2,6,4,2,,,0,0
2016,Leicester,20,24,44,15,12,-14.2,1,3,0,,,1,1
2016,Liverpool,43,33,76,2,4,-3.75,0,4,-3,,,0,0
2016,ManCity,39,39,78,4,3,27,1,3,-3,,,1,1
2016,ManUnited,36,33,69,6,6,-45,0,2,0,,,1,1
2016,Middlesbrough,18,10,28,16,19,2.5,3,4,-2,,,0,0
2016,Southampton,24,22,46,9,8,9,2,1,1,,,1,0
2016,Stoke,21,23,44,14,12,12,1,2,-2,,,0,0
2016,Sunderland,14,10,24,18,20,-6.5,3,1,0,,,0,0
2016,Swansea,12,29,41,20,14,8.4,4,3,-2,,,0,0
2016,Tottenham,39,47,86,4,2,-4.4,0,1,0,,,1,1
2016,Watford,22,18,40,12,16,-17.7,3,7,-3,,,0,0
2016,Westham,22,23,45,12,10,-6.8,2,2,-1,,,1,1
2016,Westbrom,26,19,45,8,10,-2,2,3,-1,,,0,0
2015,Bournemouth,20,22,42,14,15,16.5,6,4,0,,,0,0
2015,Arsenal,39,32,71,1,2,7,1,3,-3,,,1,1
2015,AstonVilla,8,9,17,20,20,0,0,6,-4,,,0,0
2015,Chelsea,20,30,50,14,10,-21.5,2,7,-5,,,1,1
2015,CrystalPalace,31,11,42,5,15,0,1,3,-2,,,0,0
2015,Everton,26,21,47,11,11,5,2,4,-3,,,0,0
2015,Leicester,39,42,81,1,1,8.75,3,3,-3,,,0,0
2015,Liverpool,30,30,60,6,8,0,1,1,0,,,1,1
2015,ManCity,36,30,66,3,4,0,0,4,-3,,,1,1
2015,ManUnited,30,36,66,6,4,0,0,4,-2,,,1,1
2015,Newcastle,17,20,37,18,18,28.75,4,3,0,,,0,0
2015,Norwich ,20,14,34,14,19,10,6,6,-1,,,0,0
2015,Southampton,24,39,63,12,6,4,1,1,-1,,,1,1
2015,Stoke,29,22,51,8,9,18.3,1,1,-1,,,0,0
2015,Sunderland,12,27,39,19,17,13.75,5,7,-5,,,0,0
2015,Swansea,19,28,47,17,11,-4,3,5,-2,,,0,0
2015,Tottenham,35,35,70,4,3,-12.5,0,5,-2,,,1,1
2015,Watford,29,16,45,8,13,17.2,4,4,-2,,,0,0
2015,Westham,29,33,62,8,7,-1.6,2,5,-3,,,1,1
2015,Westbrom,23,20,43,13,14,0,2,1,1,,,0,0
2014,Arsenal,33,42,75,4,3,13.2,2,5,-3,,,1,1
2014,AstonVilla,21,17,38,12,16,3.2,2,6,-4,,,0,0
2014,Burnley,16,17,33,17,19,2,1,1,-1,,,0,0
2014,Chelsea,46,41,87,1,1,-8.7,1,10,-7,,,1,1
2014,CrystalPalace,16,32,48,17,10,4.75,6,3,-1,,,0,0
2014,Everton,21,26,47,12,11,0,1,4,0,,,1,1
2014,Hullcity,16,19,35,17,18,0,1,2,-1,,,0,0
2014,Leicester,13,28,41,20,14,9,3,1,0,,,0,0
2014,Liverpool,28,34,62,8,6,-5.7,0,4,-2,,,1,1
2014,ManCity,43,36,79,2,2,28,1,8,-7,,,1,1
2014,ManUnited,36,34,70,3,4,-2,2,9,-4,,,0,0
2014,Newcastle,26,13,39,10,15,-5.5,0,3,-1,,,0,0
2014,QPR,18,12,30,15,20,4.75,2,3,0,,,0,0
2014,Southampton,33,27,60,4,7,7,3,2,1,,,0,0
2014,Stoke,25,29,54,11,9,0,1,3,0,,,0,0
2014,Sunderland,20,18,38,14,16,0,1,5,-2,,,0,0
2014,Swansea,28,28,56,8,8,-18.25,4,2,0,,,0,0
2014,Tottenham,31,33,64,6,5,0,1,7,-6,,,1,1
2014,Westham,31,16,47,6,11,0,1,3,-2,,,0,0
2014,Westbrom,17,27,44,16,13,4.75,2,2,-1,,,0,0
2013,Arsenal,42,37,79,1,4,0,1,4,0,,,1,1
2013,AstonVilla,20,18,38,13,14,0,2,1,1,,,0,0
2013,CardiffCity,18,12,30,15,20,2,6,3,1,,,0,0
2013,Chelsea,40,42,82,3,3,-21.8,4,7,-3,,,1,1
2013,CrystalPalace,16,29,45,17,11,3,4,3,1,,,0,0
2013,Everton,37,35,72,4,5,-7.5,4,3,1,,,0,0
2013,Fulham,16,16,32,17,19,12.4,7,4,0,,,0,0
2013,Hullcity,23,14,37,10,16,14.5,2,2,-1,,,0,0
2013,Liverpool,36,48,84,5,2,0,0,2,-2,,,0,0
2013,ManCity,41,45,86,2,1,0,0,1,-1,,,1,1
2013,ManUnited,34,30,64,6,7,37.1,1,9,-6,,,1,1
2013,Newcastle,33,16,49,8,10,-20,1,4,-2,,,0,0
2013,Norwich ,19,14,33,14,18,0,1,0,1,,,0,0
2013,Southampton,27,29,56,9,8,0,1,5,-4,,,0,0
2013,Stoke,21,29,50,11,9,0,2,2,0,,,0,0
2013,Sunderland,14,24,38,20,14,0,5,6,-3,,,0,0
2013,Swansea,21,21,42,11,12,0,3,1,1,,,0,0
2013,Tottenham,34,35,69,6,6,-0.5,0,3,-1,,,1,1
2013,Westham,15,25,40,19,13,0,5,1,3,,,0,0
2013,Westbrom,18,18,36,15,17,-7,1,1,1,,,0,0